config_id,question_id,retrieval_precision_at_k,context_recall,citation_coverage,answer_grounding_score,context_items,citations,latency_seconds,gold_evidence_documents,retrieved_gold_documents,evidence_recall_at_context,citation_recall,answer_exact_match,answer_contains_gold,answer_token_f1
caracal-only,q_mhr_0001,0.08333333333333333,1.0,0.0,1.0,36,3,0.8815020999754779,3,3,1.0,0.0,1.0,1.0,1.0
caracal-only,q_mhr_0002,0.0,0.0,0.0,1.0,36,3,0.9391110999858938,2,0,0.0,0.0,0.0,0.0,0.0
caracal-only,q_mhr_0003,0.0,0.0,0.0,1.0,36,3,0.9012036999920383,2,0,0.0,0.0,0.0,0.0,0.0
caracal-only,q_mhr_0004,0.041666666666666664,1.0,0.5,1.0,48,4,0.8433402000227943,2,2,1.0,0.5,1.0,1.0,1.0
caracal-only,q_mhr_0005,0.08333333333333333,1.0,0.0,1.0,36,3,0.8749799000215717,3,3,1.0,0.0,0.0,0.0,0.0
caracal-only,q_mhr_0006,0.05555555555555555,1.0,0.5,1.0,36,3,0.8568744999356568,2,2,1.0,0.5,1.0,1.0,1.0
caracal-only,q_mhr_0007,0.041666666666666664,1.0,0.5,1.0,48,4,0.8085048000211827,2,2,1.0,0.5,1.0,1.0,1.0
caracal-only,q_mhr_0008,0.041666666666666664,1.0,0.0,1.0,48,4,0.8930313999881037,2,2,1.0,0.0,1.0,1.0,1.0
caracal-only,q_mhr_0009,0.08333333333333333,0.75,0.5,1.0,36,3,0.9013088999781758,4,3,0.75,0.5,0.0,0.0,0.0
caracal-only,q_mhr_0010,0.027777777777777776,0.3333333333333333,0.0,1.0,36,3,0.8467006999999285,3,1,0.3333333333333333,0.0,0.0,0.0,0.0
caracal-only,q_mhr_0011,0.75,1.0,0.16666666666666666,1.0,24,3,0.702187100017909,0,0,1.0,0.16666666666666666,0.0,0.0,0.0
caracal-only,q_mhr_0012,0.041666666666666664,1.0,0.0,1.0,48,4,0.8958255000179633,2,2,1.0,0.0,1.0,1.0,1.0
caracal-only,q_mhr_0013,0.047619047619047616,1.0,0.0,1.0,42,4,1.0748655999777839,2,2,1.0,0.0,0.0,0.0,0.0
caracal-only,q_mhr_0014,0.75,1.0,0.16666666666666666,1.0,24,3,0.6887381999986246,0,0,1.0,0.16666666666666666,0.0,0.0,0.0
caracal-only,q_mhr_0015,0.041666666666666664,1.0,0.5,1.0,48,4,0.8061070999829099,2,2,1.0,0.5,1.0,1.0,1.0
caracal-only,q_mhr_0016,0.05555555555555555,0.5,0.0,1.0,36,3,0.901070499967318,4,2,0.5,0.0,0.0,0.0,0.0
caracal-only,q_mhr_0017,0.05555555555555555,0.5,0.0,1.0,36,3,0.8462636000476778,4,2,0.5,0.0,0.0,0.0,0.0
caracal-only,q_mhr_0018,0.07142857142857142,1.0,0.3333333333333333,1.0,42,4,1.04254569998011,3,3,1.0,0.3333333333333333,0.0,0.0,0.0
caracal-only,q_mhr_0019,0.75,1.0,0.16666666666666666,1.0,24,3,0.6787692000507377,0,0,1.0,0.16666666666666666,0.0,0.0,0.0
caracal-only,q_mhr_0020,0.020833333333333332,0.5,0.0,1.0,48,4,0.8728360999375582,2,1,0.5,0.0,0.0,0.0,0.0
caracal-only,q_mhr_0021,0.75,1.0,0.16666666666666666,1.0,24,3,0.6976136000012048,0,0,1.0,0.16666666666666666,0.0,0.0,0.0
caracal-only,q_mhr_0022,0.047619047619047616,0.6666666666666666,0.0,1.0,42,4,1.0514766000560485,3,2,0.6666666666666666,0.0,0.0,0.0,0.0
caracal-only,q_mhr_0023,0.027777777777777776,0.3333333333333333,0.0,1.0,36,3,0.9139309999882244,3,1,0.3333333333333333,0.0,0.0,0.0,0.0
caracal-only,q_mhr_0024,0.047619047619047616,1.0,0.5,1.0,42,4,1.056470499956049,2,2,1.0,0.5,0.0,0.0,0.0
caracal-only,q_mhr_0025,0.75,1.0,0.16666666666666666,1.0,24,3,0.6809817999601364,0,0,1.0,0.16666666666666666,0.0,0.0,0.0
caracal-only,q_mhr_0026,0.07142857142857142,1.0,0.3333333333333333,1.0,42,4,1.0392799999681301,3,3,1.0,0.3333333333333333,0.0,0.0,0.0
caracal-only,q_mhr_0027,0.047619047619047616,0.6666666666666666,0.3333333333333333,1.0,42,4,1.0358439001138322,3,2,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0
caracal-only,q_mhr_0028,0.041666666666666664,1.0,0.0,1.0,48,4,0.894289999967441,2,2,1.0,0.0,1.0,1.0,1.0
caracal-only,q_mhr_0029,0.041666666666666664,1.0,0.0,1.0,48,4,0.8840005000238307,2,2,1.0,0.0,0.0,0.0,0.0
caracal-only,q_mhr_0030,0.0,0.0,0.0,1.0,42,4,1.1605556000140496,2,0,0.0,0.0,0.0,0.0,0.0
